Dia,ID,Fila,Columna,Susceptibles,Expuestos,Infectados,Recuperados,Fallecidos,Vacunados
15,1,0,0,144937,39127,6401,23207,4298,92155
15,1,0,1,6,0,4,0,0,0
15,1,0,2,11,4,12,2,0,1
15,0,0,3,0,0,0,0,0,0
15,2,0,4,8,4,8,0,0,0
15,2,0,5,9,1,10,0,0,0
15,1,1,0,19,7,11,0,0,3
15,1,1,1,6,0,4,0,0,0
15,1,1,2,10,9,11,4,0,1
15,0,1,3,0,0,0,0,0,0
15,2,1,4,6,0,9,0,0,0
15,2,1,5,7,8,9,0,0,1
15,3,2,0,15,6,12,0,0,2
15,1,2,1,11,1,8,0,0,0
15,0,2,2,0,0,0,0,0,0
15,4,2,3,12,4,11,2,0,1
15,4,2,4,6,0,4,0,0,0
15,4,2,5,7,4,9,0,0,0
15,3,3,0,9,4,10,1,0,1
15,3,3,1,6,1,8,0,0,0
15,4,3,2,16,9,10,2,0,3
15,4,3,3,261842,61328,18735,36614,6814,127020
15,4,3,4,10,4,12,3,0,1
15,4,3,5,8,2,10,0,0,0
15,3,4,0,6,2,7,0,0,0
15,3,4,1,703,186,36,108,14,453
15,3,4,2,13,5,14,2,0,1
15,4,4,3,6,5,9,0,0,0
15,4,4,4,6,1,8,0,0,0
15,0,4,5,0,0,0,0,0,0
15,3,5,0,11,2,12,0,0,0
15,3,5,1,16,2,9,0,0,3
15,3,5,2,5,0,5,0,0,0
15,2,5,3,208683,52971,10287,31531,5854,123118
15,0,5,4,0,0,0,0,0,0
15,0,5,5,0,0,0,0,0,0
16,1,0,0,142553,39442,5848,23407,4336,94539
16,1,0,1,6,0,4,0,0,0
16,1,0,2,10,5,11,3,0,1
16,0,0,3,0,0,0,0,0,0
16,2,0,4,7,5,8,0,0,0
16,2,0,5,8,2,10,0,0,0
16,1,1,0,19,7,11,0,0,3
16,1,1,1,6,0,4,0,0,0
16,1,1,2,9,10,11,4,0,1
16,0,1,3,0,0,0,0,0,0
16,2,1,4,6,1,8,0,0,0
16,2,1,5,7,8,9,0,0,1
16,3,2,0,15,7,11,0,0,2
16,1,2,1,11,1,8,0,0,0
16,0,2,2,0,0,0,0,0,0
16,4,2,3,11,4,12,2,0,1
16,4,2,4,5,0,5,0,0,0
16,4,2,5,7,4,9,0,0,0
16,3,3,0,9,4,10,1,0,1
16,3,3,1,6,1,8,0,0,0
16,4,3,2,16,10,9,2,0,3
16,4,3,3,251609,63524,15009,37906,7052,137253
16,4,3,4,9,5,12,3,0,1
